"timestamp","categoria","accion","detalles","resultados","duracion_ns","nota"
"2025-12-17 02:07:34","SEARCH","Centinela por ID","id=CITA-011",1,981700,""
"2025-12-17 02:20:52","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-17 02:21:00","SEARCH","First por apellido","apellido=VARGAS",1,26000,""
"2025-12-17 02:24:34","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-17 02:25:15","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-17 02:25:51","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-17 02:26:24","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-17 02:28:12","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-17 02:32:53","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-17 02:33:04","SEARCH","Centinela por ID","id=CITA-010",1,884100,""
"2025-12-17 02:33:40","SEARCH","findAll por apellido","apellido=VARGAS",4,938000,""
"2025-12-17 03:02:29","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-17 03:02:39","SEARCH","Centinela por ID","id=CITA-011",1,932100,""
"2025-12-17 03:05:33","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-17 03:06:44","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-17 03:06:56","SEARCH","Lineal por ID","id=CITA-017",1,47000,""
"2025-12-17 03:08:23","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-17 03:10:08","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-17 03:13:17","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-17 03:13:28","SEARCH","Centinela por ID","id=CITA-023",1,682500,""
"2025-12-17 03:15:17","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-17 03:15:28","SEARCH","Centinela por ID","id=CITA-0000",1,724800,""
"2025-12-17 03:16:14","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-17 03:16:21","SEARCH","Centinela por ID","id=CITA-00000",1,1202000,""
"2025-12-17 03:17:07","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-17 03:17:13","SEARCH","Centinela por ID","id=CITA-0000",1,723300,""
"2025-12-17 03:19:12","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-17 03:19:16","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-17 03:19:24","SEARCH","Lineal por ID","id=CITA-000",0,126500,""
"2025-12-17 03:19:40","SEARCH","Lineal por ID","id=CITA-010",1,55500,""
"2025-12-17 03:22:46","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-17 03:22:55","SEARCH","findAll por apellido","apellido=VARGAS",4,705100,""
"2025-12-17 03:23:14","SEARCH","findAll por apellido","apellido=VAR",0,134000,""
"2025-12-17 03:29:00","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-17 03:29:21","SEARCH","Bounds por ID","id=CITA-010",1,25800,""
"2025-12-17 03:29:49","SEARCH","SLL-findAll por apellido","apellido=VARGAS",4,204300,""
"2025-12-17 03:31:45","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-17 03:32:25","SEARCH","Lineal por ID","id=CITA-024",1,63900,""
